NNQT_question,uid,subgraph,template_index,question,sparql_wikidata,sparql_dbpedia18,template,paraphrased_question,sparql_wikidata_translated,descriptions
What is the {viceroy} for {office held by head of state} of {Tasmania},19777,simple question right,123,Who is the viceroy of Tasmania?, select distinct ?obj where { wd:Q34366 wdt:P1906 ?obj . ?obj wdt:P31 wd:Q244741 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q34366> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1906> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q244741> } , <S P ?O ; ?O instanceOf Type>,Give me the name of the viceroy of Tasmania?, select distinct ?obj where { [Tasmania] [office held by head of state] ?obj . ?obj [instance of] [viceroy] } ,"['[office held by head of state] is political office that is fulfilled by the head of state of this item', '[Tasmania] is state of Australia', '[viceroy] is representative of a monarch', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)']"
what is the {applies to part} for {Kolyma River} has {coordinate location} as {161.364} ?,5927,statement_property,2372,What is at the Kolyma River at the coordinates 161.364?,"SELECT ?value WHERE { wd:Q78879 p:P625 ?s . ?s ps:P625 ?x filter(contains(?x,'161.364')) . ?s pq:P518 ?value}","select distinct ?value  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q78879> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P625> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <161.364> .
?statement <http://www.wikidata.org/entity/P518> ?value. 
} 
",(E pred ?Obj ) prop value,I want to know what can be found at the Kolyma River at the 161.364 coordinates.,"SELECT ?value WHERE { [Kolyma] [coordinate location] ?s . ?s [coordinate location] ?x filter(contains(?x,'161.364')) . ?s [applies to part, aspect, or form] ?value}","['[applies to part, aspect, or form] is part, aspect, or form of the item to which the claim applies', '[coordinate location] is geocoordinates of the subject. For Earth, please note that only WGS84 coordinating system is supported at the moment', '[Kolyma] is river in Magadan Oblast and Yakutia, Russia', '[coordinate location] is geocoordinates of the subject. For Earth, please note that only WGS84 coordinating system is supported at the moment']"
What is the {court} and the {applies to jurisdiction} of {Roe_v._Wade} ?,9497,two intentions right subgraph,583,What is the court and application of jurisdiction of Roe v. Wade?,SELECT ?ans_1 ?ans_2 WHERE { wd:Q300950 wdt:P4884 ?ans_1 . wd:Q300950 wdt:P1001 ?ans_2 }, SELECT ?ans_1 ?ans_2 WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q300950> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P4884> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?ans_1. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q300950> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1001> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?ans_2. } ,select where (ent-pred-obj1 . ent-pred-obj2),Which court did Roe v. Wade?,SELECT ?ans_1 ?ans_2 WHERE { [Roe v. Wade] [court] ?ans_1 . [Roe v. Wade] [applies to jurisdiction] ?ans_2 },"['[Roe v. Wade] is 1973 US Supreme Court judgement on abortion', '[Roe v. Wade] is 1973 US Supreme Court judgement on abortion', '[applies to jurisdiction] is the item (institution, law, public office, public register...) or statement belongs to or has power over or applies to the value (a territorial jurisdiction: a country, state, municipality, ...)', '[court] is specific court a legal case is or was heard or decided in']"
Give me {phantom island} that starts with {'t'},24358,string matching simple contains word,3464,What are the phantom island which start with the letter T,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q129264 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 't')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q129264>. ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 't')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; starts with character >,What is the fantasy island that begins with the letter T,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj [instance of] [phantom island] . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 't')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","['[phantom island] is island that was believed to exist but later proven to be nonexistent', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)']"
What is the {urban municipality of Germany} for {twinned administrative body} of {Cardiff},22108,simple question right,3169,Which German city is twinned with Cardiff?, select distinct ?obj where { wd:Q10690 wdt:P190 ?obj . ?obj wdt:P31 wd:Q42744322 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q10690> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P190> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q42744322> } , <S P ?O ; ?O instanceOf Type>,What other german city is like Cardiff?, select distinct ?obj where { [Cardiff] [twinned administrative body] ?obj . ?obj [instance of] [urban municipality in Germany] } ,"['[twinned administrative body] is twin towns, sister cities, twinned municipalities and other localities that have a partnership or cooperative agreement, either legally or informally acknowledged by their governments', '[urban municipality in Germany] is municipality with town privileges in Germany (may e.g. legally prepend ""Stadt"" to its name)', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)', '[Cardiff] is capital city of Wales, United Kingdom']"
What is {portrait of} of {pendant to} of {Woman Drinking Wine} ?,15815,left-subgraph,287,What portrait has the Woman Drinking Wine wearing a pendant?,SELECT ?answer WHERE { wd:Q32995247 wdt:P1639 ?X . ?X wdt:P180 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q32995247> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1639>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P180> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },C RCD xD . xD RDE ?E,Which picture presents the woman wearing a pendant drinking wine?,SELECT ?answer WHERE { [Woman Drinking Wine] [pendant of] ?X . ?X [depicts] ?answer},"['[Woman Drinking Wine] is painting by Gerard ter Borch', ""[depicts] is entity visually depicted in an image, literarily described in a work, or otherwise incorporated into an audiovisual or other medium; see also P921,  'main subject'"", '[pendant of] is other work in a pair of opposing artworks, such as wedding portraits, commissioned together, but not always']"
What is the {taxon} for {has effect} of {cholera},20110,simple question left,456,Cholera affects which taxon?, select distinct ?sbj where { ?sbj wdt:P1542 wd:Q12090 . ?sbj wdt:P31 wd:Q16521 } ,select distinct ?subj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?subj . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1542> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q12090> . ?subj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q16521> } ,<?S P O ; ?S InstanceOf Type>,Which taxon does Cholera affect?, select distinct ?sbj where { ?sbj [has effect] [cholera] . ?sbj [instance of] [taxon] } ,"['[taxon] is group of one or more organism(s), which a taxonomist adjudges to be a unit', '[has effect] is effect of this item', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)', '[cholera] is bacterial infection of the small intestine']"
Did {Schutzstaffel} {subsidiary} {Reich Main Security Office} and {21st Waffen Mountain Division of the SS Skanderbeg} ?,656,boolean double one_hop right subgraph,156,Is Schutzstaffel's subsidiary Reich Main Security Office and 21st Waffen Mountain division of the SS Skanderbeg?,ASK WHERE { wd:Q44687 wdt:P355 wd:Q152698 . wd:Q44687 wdt:P355 wd:Q160776 }, ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q44687> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P355> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q152698>. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q44687> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P355> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q160776>. } ,Ask (ent-pred-obj1` . ent-pred-obj2),Does the subsidiary of Schutzaffel include the Reich Main Security Office ans 21st Waffen Mountain division of the SS Skanderbeg? ?,ASK WHERE { [Schutzstaffel] [has subsidiary] [Reich Main Security Office] . [Schutzstaffel] [has subsidiary] [21st Waffen Mountain Division of the SS Skanderbeg] },"['[Reich Main Security Office] is central Intelligence and Police Service (usually in plain clothes) of the SS under the National Socialist regime in Germany from 1939 (to 1945)', '[21st Waffen Mountain Division of the SS Skanderbeg] is WWII German infantry division', '[Schutzstaffel] is Nazi paramilitary organization (1925–45) with the Waffen-SS as a military branch; conducted the mass murder of the European jews (holocaust)', '[Schutzstaffel] is Nazi paramilitary organization (1925–45) with the Waffen-SS as a military branch; conducted the mass murder of the European jews (holocaust)', '[has subsidiary] is subsidiary of a company or organization; generally a fully owned separate corporation. Compare with ""business division"" (P199). Opposite of parent organization (P749).', '[has subsidiary] is subsidiary of a company or organization; generally a fully owned separate corporation. Compare with ""business division"" (P199). Opposite of parent organization (P749).']"
What is {service branch} of {consort} of {Myrna Loy} ?,14877,right-subgraph,982,"In the consort of Myrna Loy, what is the service branch?",SELECT ?answer WHERE { wd:Q105941 wdt:P26 ?X . ?X wdt:P241 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q105941> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P26>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P241> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },E REF xF . xF RFG ?G,WHAT IS THE SERVICE BRANCH OF MYRNA LOY,SELECT ?answer WHERE { [Myrna Loy] [spouse] ?X . ?X [military branch] ?answer},"['[military branch] is branch to which this military unit, award, office, or person belongs, e.g. Royal Navy', '[Myrna Loy] is American actress (1905–1993)', '[spouse] is the subject has the object as their spouse (husband, wife, partner, etc.). Use ""unmarried partner"" (P451) for non-married companions']"
what is the {point in time} for {Supernatural} has {award received} as {Favorite Pop/Rock Album} ?,7378,statement_property,3823,When did Supernatural win the Favorite Pop/Rock Album award?,SELECT ?value WHERE { wd:Q819127 p:P166 ?s . ?s ps:P166 wd:Q19858080 . ?s pq:P585 ?value},"select distinct ?value  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q819127> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P166> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q19858080> .
?statement <http://www.wikidata.org/entity/P585> ?value. 
} 
",(E pred ?Obj ) prop value,On what date did Supernatural win the Favorite Pop/Rock Album grant?,SELECT ?value WHERE { [Supernatural] [award received] ?s . ?s [award received] [American Music Award for Favorite Pop/Rock Album] . ?s [point in time] ?value},"['[point in time] is date something took place, existed or a statement was true; for providing time use the ""refine date"" property (P4241)', '[Supernatural] is 1999 studio album by Santana', '[award received] is award or recognition received by a person, organization or creative work', '[award received] is award or recognition received by a person, organization or creative work', '[American Music Award for Favorite Pop/Rock Album] is American Music Award']"
What is the {international organization} for {subsidiary} of {World Bank},23067,simple question right,2128,What is the international organization for World Bank?, select distinct ?obj where { wd:Q7164 wdt:P355 ?obj . ?obj wdt:P31 wd:Q484652 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q7164> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P355> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q484652> } , <S P ?O ; ?O instanceOf Type>,What is the universal organization for World Bank?, select distinct ?obj where { [World Bank] [has subsidiary] ?obj . ?obj [instance of] [international organization] } ,"['[has subsidiary] is subsidiary of a company or organization; generally a fully owned separate corporation. Compare with ""business division"" (P199). Opposite of parent organization (P749).', '[international organization] is organization established by treaty between governments', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)', '[World Bank] is international financial institution']"
