NNQT_question,uid,subgraph,template_index,question,sparql_wikidata,sparql_dbpedia18,template,paraphrased_question,wikidata_translated
What is {architecture firm} of {home field} of {New York Centaurs} ?,15277,left-subgraph,3,who architecture firm of home field of new york centaurs?,SELECT ?answer WHERE { wd:Q16845909 wdt:P115 ?X . ?X wdt:P84 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q16845909> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P115>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P84> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },C RCD xD . xD RDE ?E,who engineering firm of domestic field of modern york centaurs?,SELECT ?answer WHERE { New York Centaurs home venue ?X . ?X architect ?answer}
What is {champ} of {prize awarded} of {Lily Tomlin} ?,14554,left-subgraph,189,Who is {champ} of {prize awarded} {Lily Tomlin} ?,SELECT ?answer WHERE { wd:Q229271 wdt:P166 ?X . ?X wdt:P1346 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q229271> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P166>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1346> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },C RCD xD . xD RDE ?E,Who is {champ} of {prize granted} {Lily Tomlin} ?TARD ?,SELECT ?answer WHERE { Lily Tomlin award received ?X . ?X winner ?answer}
"What is {cartridge} of {Minigun}, that has {participated in conflict} is {Vietnam War} ?",13100,right-subgraph,176,"What is the ammunition of the weapon, that has been used in the war in Southeast Asia?",SELECT ?answer WHERE { wd:Q864060 wdt:P739 ?answer . ?answer wdt:P607 wd:Q8740},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q864060> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P739>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?answer. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P607> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q8740> . },E REF ?F . ?F RFG G,"What is the ammunition of the weapon, that has been used in the conflict in Southeast Asia?",SELECT ?answer WHERE { Minigun ammunition ?answer . ?answer conflict Vietnam War}
Give me {horse breed} that starts with {'z'},24387,string matching simple contains word,566,Tell me every horse breed whose name starts with the letter z,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q1160573 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'z')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q1160573>. ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'z')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; starts with character >,Tell me each and every horse breed whose identify begins with the letter z,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj instance of horse breed . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'z')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 "
What is {brother-in-law} of {writer} of {Quran} ?,15679,left-subgraph,33,Who is the brother in law of the writer Quran?,SELECT ?answer WHERE { wd:Q428 wdt:P50 ?X . ?X wdt:P1038 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q428> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P50>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1038> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },C RCD xD . xD RDE ?E,Give me the name of the brother in law of the writer of Quran.,SELECT ?answer WHERE { Qur’an author ?X . ?X relative ?answer}
"What is {represents} of {Grande Odalisque}, that has {DRTL} is {backwards} ?",13854,right-subgraph,254,What does the painting Grade Odalisque represent which has DRTL backwards?,SELECT ?answer WHERE { wd:Q1978815 wdt:P180 ?answer . ?answer wdt:P654 wd:Q16938807},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q1978815> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P180>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?answer. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P654> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q16938807> . },E REF ?F . ?F RFG G,What does the portray Review Odalisque speak to which has DRTL backwards?,SELECT ?answer WHERE { Grande Odalisque depicts ?answer . ?answer direction relative to location backwards}
Give me {empire} that {coat of arms} {royal coat of arms of the United Kingdom} and which contains the word {british} in their name,24949,string matching type + relation contains word,3209,"Name an empire that contains the word ""british"" in its name","SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q48349 . ?sbj wdt:P237 wd:Q165762 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'british')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q48349>. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P237> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q165762>. ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'british')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; contains word >,"Title an realm that contains the word ""british"" in its name","SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj instance of empire . ?sbj coat of arms royal coat of arms of the United Kingdom . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'british')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 "
what is the {instance of} for {Antonio da Correggio} has {date of birth} as {1489-8-1} ?,6792,statement_property,3237,What is the instance of Antonio da Correggio whose date of birth is 1489-8-1?,"SELECT ?value WHERE { wd:Q8457 p:P569 ?s . ?s ps:P569 ?x filter(contains(YEAR(?x),'1489')) . ?s pq:P31 ?value}","select distinct ?value  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q8457> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P569> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <1489-8-1> .
?statement <http://www.wikidata.org/entity/P31> ?value. 
} 
",(E pred ?Obj ) prop value,"Give me the instance of Antonio da Correggio, whose birthdate is 1489-8-1?","SELECT ?value WHERE { Antonio da Correggio p:P569 ?s . ?s ps:P569 ?x filter(contains(YEAR(?x),'1489')) . ?s pq:P31 ?value}"
What is {teacher of} of {supervisor} of {Shigeno Yasutsugu} ?,17484,left-subgraph,8,Who was the teacher that supervised Shigeno Yasutsugu?,SELECT ?answer WHERE { wd:Q6533159 wdt:P1066 ?X . ?X wdt:P802 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q6533159> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1066>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P802> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },C RCD xD . xD RDE ?E,Who was the instructor that administered Shigeno Yasutsugu?,SELECT ?answer WHERE { Shigeno Yasutsugu student of ?X . ?X student ?answer}
what is the {point in time} for {Kylie Minogue} has {award received} as {Gold Logie Award for Most Popular Personality on Australian Television} ?,3612,statement_property,57,When did Kylie Minogue receive the Gold Logie Award for Most Popular Personality on Australian Television?,SELECT ?value WHERE { wd:Q11998 p:P166 ?s . ?s ps:P166 wd:Q16191288 . ?s pq:P585 ?value},"select distinct ?value  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q11998> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P166> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q16191288> .
?statement <http://www.wikidata.org/entity/P585> ?value. 
} 
",(E pred ?Obj ) prop value,On what date did Kylie Minogue receive the Gold Logie Award for Most Popular Personality on Australian Television?,SELECT ?value WHERE { Kylie Minogue p:P166 ?s . ?s ps:P166 Gold Logie Award for Most Popular Personality on Australian Television . ?s pq:P585 ?value}
What is the {business} for {employer} of {Alexander McQueen},22044,simple question right,3105,What business does Alexander McQueen have?, select distinct ?obj where { wd:Q207939 wdt:P108 ?obj . ?obj wdt:P31 wd:Q4830453 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q207939> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P108> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q4830453> } , <S P ?O ; ?O instanceOf Type>,What's the name of Alexander McQueen's business?, select distinct ?obj where { Alexander McQueen employer ?obj . ?obj instance of business } 
Give me {Greek deity} that {sibling} {Zeus} and which contains the word {poseidon} in their name,25085,string matching type + relation contains word,3714,Tell me the Greek deity of sibling of Zeus and that contains the word poseidon in it's name?,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q22989102 . ?sbj wdt:P3373 wd:Q34201 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'poseidon')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q22989102>. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P3373> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q34201>. ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'poseidon')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; contains word >,Let me know the Greek deity of kin of Zeus which contains the word poseidon in it's name?,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj instance of Greek deity . ?sbj sibling Zeus . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'poseidon')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 "
What is {digitiser} of {series} of {Ultima III: Exodus} ?,16153,left-subgraph,7098,Who organizes the order of Ultima III: Exodus?,SELECT ?answer WHERE { wd:Q2240236 wdt:P179 ?X . ?X wdt:P479 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q2240236> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P179>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P479> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },C RCD xD . xD RDE ?E,Who organizes the arrange of Ultima III: Departure?,SELECT ?answer WHERE { Ultima III: Exodus part of the series ?X . ?X input device ?answer}
What is the {human} for {performer} of {Deadpool},21393,simple question right,1739,Who was the lead actor for the movie Deadpool?, select distinct ?obj where { wd:Q1631090 wdt:P175 ?obj . ?obj wdt:P31 wd:Q5 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q1631090> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P175> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q5> } , <S P ?O ; ?O instanceOf Type>,Who was the lead performing artist for the motion picture Deadpool?, select distinct ?obj where { Deadpool performer ?obj . ?obj instance of human } 
What is the {musical duo} for {contributed to published work} of {Sasha Grey},20880,simple question right,1226,Mention the musical related work highlighting the work of Sasha Grey., select distinct ?obj where { wd:Q2709 wdt:P3919 ?obj . ?obj wdt:P31 wd:Q9212979 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q2709> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P3919> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q9212979> } , <S P ?O ; ?O instanceOf Type>,Say the melodic related work highlighting the work of Sasha Grey., select distinct ?obj where { Sasha Grey contributed to creative work ?obj . ?obj instance of musical duo } 
What is {award received} of {John de Mol} that is {point in time} is {2011-0-0} ?,5703,statement_property,2148,What award did John de Mol receive in 2011?,"SELECT ?obj WHERE { wd:Q470847 p:P166 ?s . ?s ps:P166 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'2011')) }","select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q470847> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P166> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P585> <2011-0-0>
} 
",(E pred F) prop ?value,in 2011 John de Mol won which award?,"SELECT ?obj WHERE { John de Mol p:P166 ?s . ?s ps:P166 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'2011')) }"
Does the {total fertility rate} of the {Algeria} {greater than} {3.4284},18485,boolean with filter,503,Is the total fertility rate of Algeria greater than 3.4284?,ASK WHERE { wd:Q262 wdt:P4841 ?obj filter(?obj > 3.4284) } ,ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q262> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P4841>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj. filter(?obj > 3.4284) },ASK ?sbj ?pred ?obj filter ?obj = num,Is the entire richness rate of Algeria more noteworthy than 3.4284?,ASK WHERE { Algeria total fertility rate ?obj filter(?obj > 3.4284) } 
Give me {physical phenomenon} that contains the word {surface} in their name,23234,string matching simple contains word,524,Tell me physical phenomenon whose name has the word surface in it.,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q1293220 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'surface')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q1293220>. ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'surface')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; contains word >,Let me know physical marvel whose title has the word surface in it.,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj instance of physical phenomenon . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'surface')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 "
"What is {made from} of {goat meat}, that has {common name} is {Domestic Goat} ?",13004,right-subgraph,21,Which is made from the goat meat having a common name as Domestic Goat?,"SELECT ?answer WHERE { wd:Q449506 wdt:P1582 ?answer . ?answer wdt:P1843 ?x FILTER(contains(?x,'Domestic Goat'))}",SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q449506> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1582>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?answer. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1843> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <Domestic Goat> . },E REF ?F . ?F RFG G,Which is made from the goat meat having a common title as Household Goat?,"SELECT ?answer WHERE { goat meat natural product of taxon ?answer . ?answer taxon common name ?x FILTER(contains(?x,'Domestic Goat'))}"
